# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
1.640000e+02	4.053370e-03	5.479773e-03	1.299767e-02	3.449965e-03
1.650000e+02	4.075232e-03	5.479621e-03	1.284334e-02	3.453751e-03
1.660000e+02	5.081450e-03	5.654763e-03	1.269489e-02	3.294905e-03
1.670000e+02	6.161594e-03	5.783028e-03	1.263666e-02	3.262128e-03
1.680000e+02	7.316416e-03	5.876770e-03	1.254838e-02	3.276435e-03
1.690000e+02	8.544502e-03	5.951461e-03	1.240919e-02	3.340954e-03
1.700000e+02	9.841681e-03	6.053207e-03	1.195183e-02	3.390880e-03
1.710000e+02	1.120046e-02	6.133951e-03	1.197362e-02	4.075592e-03
1.720000e+02	1.261181e-02	6.292850e-03	1.192959e-02	6.062137e-03
1.730000e+02	1.405456e-02	6.473530e-03	1.186194e-02	8.091576e-03
1.740000e+02	1.550144e-02	7.596968e-03	1.176220e-02	1.012318e-02
1.750000e+02	1.693013e-02	9.990836e-03	1.164338e-02	1.212323e-02
1.760000e+02	1.832128e-02	1.231035e-02	1.157833e-02	1.406194e-02
1.770000e+02	1.965341e-02	1.451530e-02	1.156130e-02	1.590622e-02
1.780000e+02	2.089933e-02	1.655576e-02	1.148106e-02	1.761496e-02
1.790000e+02	2.202677e-02	1.837339e-02	1.137631e-02	1.914006e-02
1.800000e+02	2.300244e-02	1.990876e-02	1.123185e-02	2.043244e-02
1.810000e+02	2.379754e-02	2.111076e-02	1.100161e-02	2.144993e-02
1.820000e+02	2.439218e-02	2.194428e-02	1.083080e-02	2.216352e-02
1.830000e+02	2.477759e-02	2.239397e-02	1.076340e-02	2.256052e-02
1.840000e+02	2.495615e-02	2.246420e-02	1.068818e-02	2.264457e-02
1.850000e+02	2.493987e-02	2.217666e-02	1.060821e-02	2.243352e-02
1.860000e+02	2.474838e-02	2.156697e-02	1.051126e-02	2.195667e-02
1.870000e+02	2.440705e-02	2.068129e-02	1.045948e-02	2.125196e-02
1.880000e+02	2.394506e-02	1.957307e-02	1.039774e-02	2.036323e-02
1.890000e+02	2.339363e-02	1.829960e-02	1.032242e-02	1.933738e-02
1.900000e+02	2.278396e-02	1.691825e-02	1.022025e-02	1.822136e-02
1.910000e+02	2.214525e-02	1.548265e-02	1.011493e-02	1.705897e-02
1.920000e+02	2.150286e-02	1.403922e-02	1.000176e-02	1.588809e-02
1.930000e+02	2.087705e-02	1.262479e-02	9.951069e-03	1.473874e-02
1.940000e+02	2.028246e-02	1.126547e-02	9.845350e-03	1.363220e-02
