# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
1.160000e+02	6.051555e-03	1.154375e-02	1.784844e-02	5.369345e-03
1.170000e+02	5.894879e-03	1.104695e-02	1.758672e-02	5.231094e-03
1.180000e+02	5.833734e-03	1.062953e-02	1.723353e-02	5.137485e-03
1.190000e+02	5.802419e-03	1.071968e-02	1.693750e-02	5.114951e-03
1.200000e+02	5.751699e-03	1.076783e-02	1.667268e-02	5.071534e-03
1.210000e+02	5.712592e-03	1.075878e-02	1.631446e-02	5.030672e-03
1.220000e+02	5.643586e-03	1.065473e-02	1.612767e-02	4.972798e-03
1.230000e+02	5.550155e-03	1.045388e-02	1.580373e-02	4.887132e-03
1.240000e+02	5.450862e-03	1.010701e-02	1.557088e-02	4.798074e-03
1.250000e+02	5.313052e-03	9.663264e-03	1.528331e-02	4.677732e-03
1.260000e+02	5.282785e-03	9.565449e-03	1.499651e-02	4.616437e-03
1.270000e+02	5.259286e-03	9.618403e-03	1.481766e-02	4.600471e-03
1.280000e+02	5.211930e-03	9.634099e-03	1.451132e-02	4.563168e-03
1.290000e+02	5.175508e-03	9.596389e-03	1.433936e-02	4.523866e-03
1.300000e+02	5.115425e-03	9.476074e-03	1.407830e-02	4.474013e-03
1.310000e+02	5.031244e-03	9.271600e-03	1.384166e-02	4.398646e-03
1.320000e+02	4.944519e-03	8.930150e-03	1.363595e-02	4.321006e-03
1.330000e+02	4.823431e-03	8.557227e-03	1.335136e-02	4.215475e-03
1.340000e+02	4.808769e-03	8.616493e-03	1.322700e-02	4.173113e-03
1.350000e+02	4.788926e-03	8.646675e-03	1.298128e-02	4.160091e-03
1.360000e+02	4.746059e-03	8.641685e-03	1.279598e-02	4.126586e-03
1.370000e+02	4.715643e-03	8.591097e-03	1.260086e-02	4.094083e-03
1.380000e+02	4.660806e-03	8.468894e-03	1.234891e-02	4.048990e-03
1.390000e+02	4.590098e-03	8.269800e-03	1.221907e-02	3.983146e-03
1.400000e+02	4.512949e-03	7.957091e-03	1.198024e-02	3.917727e-03
1.410000e+02	4.406429e-03	7.735492e-03	1.184695e-02	3.825262e-03
1.420000e+02	4.396971e-03	7.776549e-03	1.166524e-02	3.791665e-03
1.430000e+02	4.377960e-03	7.792066e-03	1.144682e-02	3.779139e-03
1.440000e+02	4.342850e-03	7.777883e-03	1.131982e-02	3.747165e-03
1.450000e+02	4.316544e-03	7.723646e-03	1.110128e-02	3.724427e-03
1.460000e+02	4.265509e-03	7.609173e-03	1.098431e-02	3.682725e-03
1.470000e+02	4.210475e-03	7.423170e-03	1.080716e-02	3.631236e-03
1.480000e+02	4.141180e-03	7.148818e-03	1.063427e-02	3.572929e-03
1.490000e+02	4.050333e-03	7.008618e-03	1.051614e-02	3.491761e-03
1.500000e+02	4.036419e-03	7.036994e-03	1.031348e-02	3.460617e-03
1.510000e+02	4.015150e-03	7.042632e-03	1.019484e-02	3.446067e-03
1.520000e+02	3.993098e-03	7.024015e-03	1.003739e-02	3.422942e-03
1.530000e+02	3.965649e-03	6.972552e-03	9.893476e-03	3.402240e-03
1.540000e+02	3.918902e-03	6.870152e-03	9.776729e-03	3.362934e-03
1.550000e+02	3.879038e-03	6.706980e-03	9.582594e-03	3.326424e-03
1.560000e+02	3.815300e-03	6.468258e-03	9.491045e-03	3.273143e-03
1.570000e+02	3.744972e-03	6.364838e-03	9.356200e-03	3.210015e-03
1.580000e+02	3.715967e-03	6.383503e-03	9.215011e-03	3.168931e-03
1.590000e+02	3.690181e-03	6.384131e-03	9.093654e-03	3.150537e-03
1.600000e+02	3.682619e-03	6.365380e-03	8.934320e-03	3.140141e-03
1.610000e+02	3.653059e-03	6.319464e-03	8.853524e-03	3.117710e-03
1.620000e+02	3.623783e-03	6.231737e-03	8.723608e-03	3.089373e-03
1.630000e+02	3.584133e-03	6.096805e-03	8.589234e-03	3.057483e-03
1.640000e+02	3.530481e-03	5.890763e-03	8.489943e-03	3.008975e-03
1.650000e+02	3.474504e-03	5.793162e-03	8.354279e-03	2.962434e-03
1.660000e+02	3.426763e-03	5.804439e-03	8.263730e-03	2.908095e-03
1.670000e+02	3.416680e-03	5.801652e-03	8.132681e-03	2.896264e-03
1.680000e+02	3.402410e-03	5.784920e-03	8.010453e-03	2.887152e-03
1.690000e+02	3.377993e-03	5.747070e-03	7.939687e-03	2.863516e-03
1.700000e+02	3.357394e-03	5.676114e-03	7.810502e-03	2.848398e-03
1.710000e+02	3.317006e-03	5.570360e-03	7.715048e-03	2.816029e-03
1.720000e+02	3.283111e-03	5.394868e-03	7.616647e-03	2.784456e-03
1.730000e+02	3.230320e-03	5.282225e-03	7.502133e-03	2.740849e-03
1.740000e+02	3.172589e-03	5.288106e-03	7.427219e-03	2.689580e-03
1.750000e+02	3.167134e-03	5.283839e-03	7.298233e-03	2.672602e-03
1.760000e+02	3.145041e-03	5.271318e-03	7.211138e-03	2.656979e-03
1.770000e+02	3.138445e-03	5.241573e-03	7.141066e-03	2.648467e-03
1.780000e+02	3.112227e-03	5.189275e-03	7.030650e-03	2.628689e-03
1.790000e+02	3.089673e-03	5.103133e-03	6.947004e-03	2.606994e-03
1.800000e+02	3.055362e-03	4.965192e-03	6.855172e-03	2.579661e-03
1.810000e+02	3.014626e-03	4.822159e-03	6.768049e-03	2.542941e-03
1.820000e+02	2.967715e-03	4.831199e-03	6.695088e-03	2.504376e-03
1.830000e+02	2.934739e-03	4.832007e-03	6.588478e-03	2.466303e-03
1.840000e+02	2.929751e-03	4.820556e-03	6.505852e-03	2.459521e-03
1.850000e+02	2.914572e-03	4.796305e-03	6.442537e-03	2.449421e-03
1.860000e+02	2.899354e-03	6.210704e-03	6.354419e-03	2.434204e-03
1.870000e+02	2.878637e-03	8.585165e-03	6.274068e-03	2.418890e-03
1.880000e+02	2.850487e-03	1.112200e-02	6.188144e-03	2.392979e-03
1.890000e+02	2.820580e-03	1.381001e-02	6.119228e-03	2.369314e-03
1.900000e+02	2.777287e-03	1.663108e-02	6.053345e-03	2.331567e-03
1.910000e+02	2.734878e-03	1.955935e-02	5.964291e-03	2.296204e-03
1.920000e+02	2.726189e-03	2.256086e-02	5.882097e-03	2.279832e-03
1.930000e+02	2.714964e-03	2.559381e-02	6.177639e-03	4.665294e-03
1.940000e+02	2.949784e-03	2.860943e-02	6.628831e-03	7.177323e-03
1.950000e+02	5.226027e-03	3.155351e-02	7.054424e-03	9.675934e-03
1.960000e+02	7.468939e-03	3.436851e-02	7.444127e-03	1.212283e-02
1.970000e+02	9.644574e-03	3.699598e-02	7.788121e-03	1.447827e-02
1.980000e+02	1.171888e-02	3.937935e-02	8.077525e-03	1.670281e-02
1.990000e+02	1.365920e-02	4.146672e-02	8.304854e-03	1.875904e-02
2.000000e+02	1.543578e-02	4.321363e-02	8.464407e-03	2.061346e-02
2.010000e+02	1.702317e-02	4.458546e-02	8.552576e-03	2.223801e-02
2.020000e+02	1.840138e-02	4.555936e-02	8.567990e-03	2.361150e-02
2.030000e+02	1.955672e-02	4.612544e-02	8.511471e-03	2.472046e-02
